Glober email,Glober,Legal ID,Current Skill,Current Seniority,Client Tag,Client,Project Tag,Project,Starting Date,End Date,Percentage,Current Location,Current TL,All Locations,Current PMs,Current PA,PMs History,Current DDs,Assignment Type,Comments,Project Studio,Glober Studio/BU,Glober Office,DDs History,Business Unit Tag,Business Unit Name,Replacement reason,Organizational Unit Type,Billable,Organizational Unit de SAP,Organizational Unit SAP last,Entry Date
user2@mail,User57,1,Business Analyst,Sr,CLI3,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,16,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
user3@mail,User58,2,UX,Arq,CLI4,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,99,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14
user4@mail,User59,3,Java Developer,Jr. adv,CLI5,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,64,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14
user5@mail,User60,4,SQL Developer,Jr,CLI2,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,61,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user1@mail,User126,5,Java Developer,Jr. adv,CLI5,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,61,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14
user2@mail,User127,6,Web Mobile Developer,SSr,CLI1,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,82,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14
user3@mail,User128,7,SQL Developer,Jr,CLI2,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,8,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user4@mail,User129,8,Business Analyst,Sr,CLI3,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,76,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
user5@mail,User195,9,SQL Developer,Jr,CLI2,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,100,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user1@mail,User196,10,Business Analyst,Sr,CLI3,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,24,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
