Email,Q1,Q2,Observation,Name,ID,Current Skill,Current Seniority,Client Tag,Client,Project Tag,Project,starting Date,end Date,percentage,current Location,current TL,all Locations,current PMs,current PA,pms History,current DDs,assignment Type,comments,Project Studio,Studio,Office,dds History,business Unit Tag,business Unit Name,replacement reason,organizational Unit Type,billable,Organizational Unit de SAP,Organizational Unit SAP last,Entry Date
user2@mail,3,5,xxxxxxxxxxxxx,User57,1,Business Analyst,Sr,CLI3,Black and Decker,CLA057,Web B&D,6/8/15,12/31/20,16,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
user3@mail,4,2,xxxxxxxxxxxxx,User58,2,UX,Arq,CLI4,Black and Decker,CLA058,Web B&D,6/8/15,12/31/20,99,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14
user4@mail,5,3,xxxxxxxxxxxxx,User59,3,Java Developer,Jr. adv,CLI5,Black and Decker,CLA059,Web B&D,6/8/15,12/31/20,64,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14
user5@mail,4,5,xxxxxxxxxxxxx,User60,4,SQL Developer,Jr,CLI2,Black and Decker,CLA056,Web B&D,6/8/15,12/31/20,61,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user1@mail,1,3,xxxxxxxxxxxxx,User126,5,Java Developer,Jr. adv,CLI5,Black and Decker,CLA057,Web B&D,6/8/15,12/31/20,61,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14
user2@mail,3,4,xxxxxxxxxxxxx,User127,6,Web Mobile Developer,SSr,CLI1,Black and Decker,CLA058,Web B&D,6/8/15,12/31/20,82,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14
user3@mail,4,4,xxxxxxxxxxxxx,User128,7,SQL Developer,Jr,CLI2,Black and Decker,CLA059,Web B&D,6/8/15,12/31/20,8,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user4@mail,4,3,xxxxxxxxxxxxx,User129,8,Business Analyst,Sr,CLI3,Black and Decker,CLA056,Web B&D,6/8/15,12/31/20,76,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
user5@mail,4,2,xxxxxxxxxxxxx,User195,9,SQL Developer,Jr,CLI2,Black and Decker,CLA057,Web B&D,6/8/15,12/31/20,100,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14
user1@mail,2,5,xxxxxxxxxxxxx,User196,10,Business Analyst,Sr,CLI3,Black and Decker,CLA058,Web B&D,6/8/15,12/31/20,24,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14
